nike,mens,lifestyle,https://static.nike.com/a/images/w_960,c_limit/439ffa1d-562c-430d-94ea-09f220368bda/image.jpg
nike,mens,lifestyle,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/cb6e5b2b-9d5f-4b20-8b8d-e29b5838157f/air-force-1-react-mens-shoe-gW29tK.jpg
nike,mens,lifestyle,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/1b1b09a2-cb46-487c-9882-38dc63661db6/air-force-1-gtx-mens-shoe-MXf3Lm.jpg
nike,mens,lifestyle,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/764b342c-5afa-4d75-8c7b-57fd29ca144b/air-force-1-gtx-boot-boot-vtm6QP.jpg
nike,mens,lifestyle,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/8828def9-23f4-41ee-9730-8dad910de0d1/air-max-90-mens-shoe-HvZ886.jpg
nike,mens,lifestyle,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/28a713e1-031b-4d5a-b811-399551e7b170/air-max-90-surplus-mens-shoe-JkDzfz.jpg
nike,mens,lifestyle,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/go9ejlsilpz2hq0eophu/air-max-plus-mens-shoe-yKNzom.jpg
nike,mens,lifestyle,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/12218601-6303-49ca-8611-180dc1115e46/air-vapormax-plus-mens-shoe-w4xgr4.jpg
nike,mens,lifestyle,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/ijbiqmxnjg39vqy78nzc/air-force-1-mid-07-mens-shoe-9KTdLxJW.jpg
nike,mens,lifestyle,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/afd3c8bf-64b2-4c56-acb2-f82ca7d554dd/blazer-low-mens-shoe-4w5Mgj.jpg
nike,mens,lifestyle,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/6bc82185-ff9f-4355-a473-05199eb54afe/adapt-auto-max-mens-shoe-LzgpKZ.jpg
nike,mens,lifestyle,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5c955f8a-2cae-4568-8e07-f6b40d4846fe/air-vapormax-2020-fk-ms-mens-shoe-jNbjTr.jpg
nike,mens,lifestyle,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/i1-43afcd36-febc-4d27-8126-ae5d57d7061c/benassi-jdi-mens-slide-JMOEGm.jpg
nike,mens,lifestyle,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/41b1ef6d-97c5-4acc-becd-94c3b15cb557/air-max-zm950-mens-shoe-FRkJbF.jpg
nike,mens,lifestyle,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/0538ec46-6638-43c7-a7ef-95f6a2a2fe9b/air-max-97-mens-shoe-n41b55.jpg
nike,mens,lifestyle,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/w2ldynwtyuspv6r5rffj/air-max-90-mens-shoe-6n3vKB.jpg
nike,mens,lifestyle,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/6fe4ca6e-7f66-4027-b8d0-dc8272e93086/air-zoom-pulse-shoe-xlmwMX.jpg
nike,mens,lifestyle,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/3e689630-e1ca-4e35-b08c-6f32e9afb14d/air-force-1-07-craft-mens-shoe-85QtKP.jpg
nike,mens,lifestyle,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/ad6b0d6b-4cf6-46e0-b44f-d9eb040fc75c/air-force-1-07-premium-mens-shoe-4tnLT7.jpg
nike,mens,lifestyle,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/9006f8f2-223d-4f00-919b-b3f0a899759a/air-force-1-high-07-premium-mens-shoe-dzSTQl.jpg
nike,mens,lifestyle,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5d29c288-43bc-493c-9de6-7ead6b4474c1/air-max-1-mens-shoe-05Lwrg.jpg
nike,mens,lifestyle,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/9f3cd455-baa0-41ca-a689-36c995ad572c/air-max-90-se-mens-shoe-frR1F7.jpg
nike,mens,lifestyle,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/0a085982-f89d-4097-a133-e9aa2f139d26/air-max-95-se-mens-shoe-264Jht.jpg
nike,mens,lifestyle,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/f7245a4d-34ce-4367-ae56-69a2b42a1c3e/air-force-1-07-lv8-mens-shoe-LxqPHT.jpg
nike,mens,lifestyle,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/9f16531f-0243-4bc8-84db-c9b017eb556e/air-max-1-mens-shoe-2jW0PB.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/281a414e-051e-403f-aa26-a71a7d06ed6c/air-jordan-11-retro-mens-shoe-ZNF1qX.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/ee6f8e89-7792-4157-a03e-792a72f7a19c/air-jordan-1-mid-se-mens-shoe-P7bjRV.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/81d03f35-3e06-4072-bad2-5374950cff1d/air-jordan-1-low-se-mens-shoe-J2drgp.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/36549574-cee0-49d5-b9e7-82e9ae204201/jordan-max-200-bayou-boys-shoe-kfmb5D.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d7afe100-cade-400e-b7e5-5264bcfb0437/air-jordan-xxxv-dna-basketball-shoe-cgVrrs.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/7b4923de-c8b6-4ba8-a5f4-458200e38de4/air-jordan-3-retro-se-shoe-gt1c9k.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e5594d0a-5114-4dbb-8045-aec8e2c3b1c3/jordan-spizike-270-mens-boot-31Pcjd.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/865f882e-cb6f-4fff-b511-9aeaf37466a7/air-jordan-1-low-shoe-z3Tl2VeJ.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/176dbf0a-0af9-45e6-bd20-584230194f2e/jordan-pro-rx-mens-shoe-TlGBZx.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/77d2e347-7c75-482d-a0e9-419ce78a8ff6/jordan-crater-shoe-B3fHB5.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/665312d9-1fb0-4296-9342-18d676851059/jordan-crater-slide-1cLgFx.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/8807f965-97c1-457a-bfdf-8310f1f75864/jordan-zoom-92-mens-shoe-HGMsj5.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/1b7cd910-9472-4d18-9cc9-82af48fc189c/jordan-delta-mens-shoe-jpSKRQ.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/c212f907-eff7-4b84-ade4-a2b8d11efd70/jordan-delta-breathe-mens-shoe-2ggX3h.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/c52998e1-3fc6-401e-815c-138932dfee9d/jordan-air-cadence-mens-shoe-CCZftP.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/30c526cb-a77a-4cca-9f6e-144800111fed/jordan-zoom-trunner-ultimate-running-shoe-bW1Dzz.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e0e0f178-81dd-4134-940e-2b12e7e26b13/jordan-air-zoom-renegade-x-paris-saint-germain-shoe-ssVnxX.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/af704996-85db-4f84-a632-feccef4ab387/jordan-react-elevation-mens-basketball-shoe-6Z3rQ4.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d490373c-3eda-4e42-86ae-d08036771520/jordan-delta-mens-shoe-CKxS11.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/12b7ac31-2a85-438b-920e-e4006a5723b1/air-jordan-7-retro-se-shoe-HVxKJm.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/04eecfc1-ad65-4e19-81a6-c446eb933262/jordan-air-zoom-renegade-running-shoe-GVcZTF.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/36ace633-ea34-4790-8efb-600491b85d0c/jordan-retro-10-mcs-mens-baseball-cleat-d32csC.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/c963600f-f334-4d42-8850-80543e79355c/jordan-why-not-zer03-se-mens-basketball-shoe-xsbCmd.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/eadf0e91-da15-4e17-88b1-971df7ab3bda/jordan-adg-2-mens-golf-shoe-lcbnnm.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/kwn8l3tbtdfudbtqeqyi/jordan-adg-mens-golf-shoe-cBvqvQ.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/0c596b76-7207-41cc-8890-4e4f9c7e594d/jordan-max-200-mens-shoe-GJqQKz.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/66915837-c0f5-4cfc-8381-0bea0d46d949/jordan-why-not-zer03-basketball-shoe-LJCLGj.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/i1-60e0f06c-a085-4295-8d74-21408ca799e7/air-jordan-1-low-se-shoe-nXwv4t.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/i1-0753eb34-d228-4017-8726-6b388ab88b43/air-jordan-2-retro-womens-shoe-sV9b1L.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/i1-16fbb417-967b-410a-8e1e-450c11a86bc0/jordan-aerospace-720-mens-shoe-dBclR3.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/i1-0feeac78-0a88-4ad0-be8a-a238681cdb1f/jordan-maxin-200-mens-shoe-Zk8N14.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/i1-35705fc5-35dd-4abc-804f-b97746c96984/jordan-10-td-low-mens-football-cleat-Db3PKG.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/i1-87063f8a-c2fe-426f-871d-3effa55dc6a2/jordan-10-td-mid-mens-football-cleat-TnrZL2.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/30f0a297-9cac-4c16-ae24-606684de4a0c/jordan-bloyal-mens-shoe-XC5VXg.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/2f1fa4dd-437c-45a6-8e06-2b53521408d0/jordan-max-aura-2-mens-shoe-h9mJTc.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/tdhgq8pcobggknvpdnrk/jordan-mars-270-mens-shoe-kFshZR.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/n1oohrarsvkoyu5qgrzx/jordan-proto-react-shoe-ZQMBKx.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/f494c52f-89b6-4961-bd85-ee025540aea5/jordan-jumpman-team-mens-basketball-shoe-2Qs7Qz.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d9pz08rk3oasqebprgsf/jordan-trainer-3-florida-mens-training-shoe-knGhbK.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5f5e85e4-26e1-4452-aa2f-41a9e8641be3/jordan-zoom-92-paris-saint-germain-mens-shoe-3rdMPc.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/45c7af16-1ad1-4bb3-9e9b-dfee73e86ed5/jordan-big-fund-mens-shoe-6CmGnf.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/neacvrg9w0j8hi1yiuyh/air-jordan-future-mens-shoe-BE3nJ8.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/h4mkm3bzmtvctpayquts/jordan-proto-max-720-shoe-Q7lZLh.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/42a9471e-f37e-415e-9c3b-ffbbbd73c5ba/jordan-retro-10-mcs-low-mens-baseball-cleat-RxMjWx.jpg
nike,mens,jordan,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/07e0eec5-15ce-49d6-9381-dc477ec48560/jordan-retro-10-metal-mens-baseball-cleat-QMXPf9.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/049ee600-6862-459b-ba89-883a5c59b0f2/air-zoom-pegasus-37-mens-running-shoe-KLvDcj.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/57a3972a-777b-42af-86d3-9282ef6a05c6/pegasus-trail-2-gore-tex-mens-trail-running-shoe-0vmbg9.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/78509e45-25d0-4a63-9ee0-4e36bb45cfcc/react-phantom-run-flyknit-2-mens-running-shoe-13Ml69.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/2b4f9232-9104-4ac4-9b31-22b421ba46c2/react-infinity-run-flyknit-mens-running-shoe-zX42Nc.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/72078a06-8850-4f12-8e69-7c24b1a2b8c1/react-infinity-run-flyknit-air-chaz-bundick-running-shoe-V63mjN.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/396c8a08-428b-4c14-be90-78904ba88431/air-zoom-alphafly-next-mens-racing-shoe-2FN3N2.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/48c813c8-06df-41b7-a651-ab10c4aad7a6/zoomx-vaporfly-next-running-shoe-4Q5jfG.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/48482617-33ea-4adc-90a2-a1cb5d9e3ca5/air-zoom-tempo-next-mens-running-shoe-Jp0gJk.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/xgldyzyn8ux9wpyx1pln/flex-experience-rn-8-mens-running-shoe-HgjM1T.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/9e6b7fb0-8824-4078-9fe2-8f344cb9d2c3/revolution-5-mens-running-shoe-TzTL9k.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/9aae7f50-9e73-4972-af95-e803e444a089/air-zoom-pegasus-37-shield-mens-running-shoe-B2DGpk.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5bf0690b-367b-4581-b67d-45bc778a60df/quest-3-shield-mens-running-shoe-40Jbhj.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/f19c640b-461b-4e62-8073-2e05ac0c4b2c/react-miler-mens-running-shoe-DgF6nr.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/3deb9c54-2ddf-46d1-9d0d-d400445b4e08/air-zoom-pegasus-37-flyease-mens-running-shoe-8nq874.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/89faeef4-4ea8-478a-b64f-6ffae3e06304/air-zoom-structure-23-mens-running-shoe-427jQw.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e36b6c76-eb47-46fc-8274-455c15581666/air-zoom-terra-kiger-6-mens-trail-running-shoe-kNcChX.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/696403f6-61bf-43d3-ab37-03060a7f3b5a/wildhorse-6-mens-trail-running-shoe-r5NzHQ.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/afbdec12-4429-4cb0-9d01-fc20638ad841/pegasus-trail-2-mens-trail-running-shoe-JKj6Bj.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/68051dd8-d68a-4406-a4a1-59524cc49a60/air-zoom-alphafly-next-eliud-kipchoge-mens-racing-shoe-hHNffs.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d7b32428-eea5-403d-bed0-7ce462424ca7/air-zoom-pegasus-37-betrue-shoe-GDqZXX.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/f663f396-5125-47a0-b2f5-eb20a124dba8/react-phantom-run-flyknit-2-mens-running-shoe-z8ZSzh.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/jw6hmjdth4evjkyngtn9/zoom-pegasus-turbo-2-mens-running-shoe-GcDSX3.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e34b0c5c-2871-4bc3-a09f-d03f1b78c75e/air-zoom-vomero-14-mens-running-shoe-m4gpHg.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/i1-3497e0a7-7e05-4f4b-996e-7ded9c6eca32/flex-experience-run-9-mens-running-shoe-17FprH.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5b48637d-2b15-4be4-a739-28f3909e7c8d/zoom-rival-s-9-racing-spike-ZwTJlgk3.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/c6aa37c7-33b7-48e6-9ea2-67a3bc6781bf/zoom-rival-m-9-track-spike-mCJ29r.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/8556fe5c-e6db-492c-a7e3-2891baab48df/zoom-rival-d-10-unisex-track-spike-V32GbO.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/2b22076c-ff29-4fda-af2a-0c02f7d8f236/zoom-superfly-elite-2-racing-spike-Lj6WXS.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/1bca20ed-308b-4aea-90e9-c26fac09884e/zoom-ja-fly-3-unisex-track-spike-WyTAmPOG.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/782edadb-e6da-4bc4-8666-7f29f5cadfd0/zoom-400-racing-spike-g6Ppz6.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/4c9fbd1c-52f1-4ef7-a404-2da8f068c454/zoom-mamba-v-running-shoe-f2G84m.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e3d62a04-2c2a-43c6-bc72-cf4734256ea3/spike-flat-racing-spikes-TQddcH.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/2e1e29aa-7d41-4eee-ade9-b60f39c38e85/zoomx-dragoy-racing-spike-Vrr0B6.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/9fe81d97-1f60-4d6b-83a0-ee64e61510ac/triple-jump-elite-unisex-jumping-spike-NkgqNb.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/a7bbb121-c7a4-41ff-8427-f65ca5694b4c/high-jump-elite-unisex-jumping-spike-AKTd9Aq3.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/c72f19ce-5467-42ae-a632-b002a2774425/zoom-javelin-elite-3-running-shoe-sq6fM6.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/a239177b-3e1b-48f9-b04e-f89184771467/zoom-rival-sd-2-unisex-throwing-spike-oLb8zO.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/0f7badc6-7eba-4116-a9fe-141ac3d178b3/zoom-rotational-6-unisex-throwing-shoe-kgbYp9.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/i1-59babacb-2bda-4bd7-957d-6007539b21e2/renew-run-mens-running-shoe-xdx3PD.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d3d3ccf5-5a89-4e9e-b7e4-32f1602ce36e/juniper-trail-mens-trail-shoe-MCKdXS.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/cgjhxoe6tqwxz2m2k6bq/free-rn-2018-mens-running-shoe-4VTnGqeZ.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/f1a4335d-d3ed-41c8-9277-f12911f75f64/flex-experience-run-9-premium-mens-running-shoe-WH53nq.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/6f1d2459-7811-4097-a68d-c9190847c920/zoom-pegasus-37-ohio-state-running-shoe-9x2hNv.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/11399cb5-85fb-4910-a13c-d58a018f53df/air-zoom-pegasus-37-dallas-cowboys-running-shoe-bh68Jd.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/57018c7a-b82b-413d-991b-5a68dec87307/react-infinity-run-flyknit-mens-running-shoe-RQ484B.jpg
nike,mens,running,https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e755b456-af2e-4164-a9c4-efc1517c9814/react-infinity-run-flyknit-mens-running-shoe-vtQ0z1.jpg
